x	N1	N8	N15	N22	N29	N36	N43	N50	N57	N64	N71	N78	N85	N92	N99	N106	N113	N120	N127	N134	N141	N148	N155	N162	N169	N176
1.27925	0.000397743	0.000397774	0.000397689	0.00039798	0.000396905	0.000383705	0.000346425	0.000287858	0.000222903	0.000164589	0.000118217	8.36607e-05	5.87406e-05	4.10554e-05	2.86e-05	1.98587e-05	1.3734e-05	9.44555e-06	6.44368e-06	4.3426e-06	2.87202e-06	1.84272e-06	1.12228e-06	6.18008e-07	2.65028e-07	1.19687e-07
1.3755	0.000397743	0.000397773	0.000397686	0.000398031	0.000396393	0.00038113	0.000341214	0.000281198	0.000216427	0.000159216	0.00011413	8.06869e-05	5.66252e-05	3.9568e-05	2.75609e-05	1.91364e-05	1.32343e-05	9.10181e-06	6.20918e-06	4.18457e-06	2.76751e-06	1.77567e-06	1.08145e-06	5.95521e-07	2.55384e-07	1.15333e-07
1.47251	0.000397745	0.00039777	0.000397687	0.000398073	0.000395788	0.00037846	0.000336109	0.000274892	0.000210419	0.00015429	0.000110404	7.79842e-05	5.47054e-05	3.8219e-05	2.6619e-05	1.84817e-05	1.27813e-05	8.79024e-06	5.99663e-06	4.04133e-06	2.67278e-06	1.71489e-06	1.04443e-06	5.75139e-07	2.46644e-07	1.11385e-07
1.5	0.000397746	0.000397769	0.000397689	0.000398083	0.000395609	0.000377697	0.000334673	0.000273135	0.000208756	0.00015293	0.000109378	7.72405e-05	5.41773e-05	3.7848e-05	2.63599e-05	1.83017e-05	1.26567e-05	8.70456e-06	5.93818e-06	4.00194e-06	2.64673e-06	1.69818e-06	1.03426e-06	5.69535e-07	2.4424e-07	1.103e-07
1.59808	0.000397749	0.000397764	0.000397698	0.000398107	0.000394887	0.000374928	0.000329711	0.000267243	0.000203273	0.000148492	0.000106045	7.48308e-05	5.24685e-05	3.66481e-05	2.55224e-05	1.77196e-05	1.22541e-05	8.42761e-06	5.74925e-06	3.87462e-06	2.56253e-06	1.64416e-06	1.00136e-06	5.51417e-07	2.36471e-07	1.06791e-07
1.69753	0.000397752	0.000397756	0.000397713	0.000398112	0.000394074	0.000372086	0.000324844	0.000261617	0.000198121	0.000144359	0.000102955	7.26018e-05	5.08894e-05	3.554e-05	2.47491e-05	1.71823e-05	1.18823e-05	8.17193e-06	5.57483e-06	3.75707e-06	2.48479e-06	1.59428e-06	9.7098e-07	5.34691e-07	2.29298e-07	1.03552e-07
1.79906	0.000397757	0.000397748	0.000397734	0.000398096	0.000393167	0.000369164	0.000320042	0.000256204	0.000193237	0.000140472	0.00010006	7.05183e-05	4.94149e-05	3.45057e-05	2.40274e-05	1.66809e-05	1.15355e-05	7.93337e-06	5.41209e-06	3.6474e-06	2.41226e-06	1.54775e-06	9.4264e-07	5.19085e-07	2.22606e-07	1.0053e-07
1.90328	0.000397762	0.000397738	0.00039776	0.000398055	0.000392162	0.000366159	0.000315288	0.000250966	0.000188574	0.000136788	9.73278e-05	6.85551e-05	4.80268e-05	3.35324e-05	2.33485e-05	1.62091e-05	1.12092e-05	7.70896e-06	5.259e-06	3.54423e-06	2.34403e-06	1.50397e-06	9.1598e-07	5.04404e-07	2.1631e-07	9.76867e-08
2.01069	0.000397767	0.000397727	0.000397791	0.000397985	0.000391055	0.000363065	0.000310568	0.000245877	0.0001841	0.000133277	9.47327e-05	6.66937e-05	4.67117e-05	3.26107e-05	2.27056e-05	1.57625e-05	1.09003e-05	7.49649e-06	5.11406e-06	3.44656e-06	2.27944e-06	1.46253e-06	8.90739e-07	4.90505e-07	2.1035e-07	9.49949e-08
2.12172	0.000397772	0.000397716	0.000397827	0.000397882	0.000389842	0.000359883	0.000305874	0.000240917	0.00017979	0.000129917	9.22563e-05	6.49203e-05	4.54596e-05	3.17334e-05	2.20938e-05	1.53376e-05	1.06063e-05	7.29433e-06	4.97615e-06	3.35362e-06	2.21797e-06	1.42309e-06	8.66723e-07	4.77281e-07	2.04679e-07	9.24338e-08
2.23676	0.000397777	0.000397704	0.000397866	0.000397742	0.000388522	0.000356612	0.0003012	0.000236072	0.000175625	0.000126688	8.98845e-05	6.32241e-05	4.4263e-05	3.08953e-05	2.15094e-05	1.49317e-05	1.03256e-05	7.10124e-06	4.84443e-06	3.26485e-06	2.15927e-06	1.38543e-06	8.43783e-07	4.64649e-07	1.99262e-07	8.99874e-08
2.35616	0.000397781	0.000397694	0.000397909	0.000397561	0.000387091	0.000353253	0.000296544	0.000231331	0.000171592	0.000123579	8.76063e-05	6.15972e-05	4.31159e-05	3.00921e-05	2.09495e-05	1.45427e-05	1.00566e-05	6.91623e-06	4.71822e-06	3.1798e-06	2.10302e-06	1.34934e-06	8.21804e-07	4.52546e-07	1.94071e-07	8.76435e-08
2.48025	0.000397785	0.000397685	0.000397952	0.000397333	0.000385548	0.000349809	0.000291905	0.000226688	0.00016768	0.000120578	8.54132e-05	6.00329e-05	4.20137e-05	2.93205e-05	2.04116e-05	1.41692e-05	9.7982e-06	6.73854e-06	4.597e-06	3.09811e-06	2.04899e-06	1.31468e-06	8.00695e-07	4.40921e-07	1.89086e-07	8.53923e-08
2.60932	0.000397787	0.000397677	0.000397996	0.000397055	0.000383891	0.000346282	0.000287284	0.000222136	0.000163879	0.000117677	8.32982e-05	5.8526e-05	4.09525e-05	2.85778e-05	1.9894e-05	1.38097e-05	9.54956e-06	6.56755e-06	4.48035e-06	3.0195e-06	1.99701e-06	1.28132e-06	7.8038e-07	4.29735e-07	1.84289e-07	8.32259e-08
2.74366	0.000397788	0.000397672	0.000398038	0.00039672	0.000382121	0.000342677	0.000282681	0.000217672	0.000160184	0.000114868	8.12554e-05	5.70722e-05	3.99292e-05	2.78618e-05	1.9395e-05	1.34631e-05	9.30991e-06	6.40272e-06	4.36792e-06	2.94373e-06	1.94689e-06	1.24917e-06	7.60799e-07	4.18952e-07	1.79665e-07	8.11377e-08
2.88358	0.000397788	0.00039767	0.000398077	0.000396326	0.000380235	0.000338998	0.000278099	0.000213293	0.000156588	0.000112147	7.92802e-05	5.56679e-05	3.89411e-05	2.71707e-05	1.89134e-05	1.31287e-05	9.0786e-06	6.24365e-06	4.2594e-06	2.87059e-06	1.89853e-06	1.21814e-06	7.419e-07	4.08545e-07	1.75202e-07	7.91222e-08
3.02935	0.000397785	0.000397671	0.00039811	0.000395866	0.000378236	0.000335249	0.00027354	0.000208996	0.000153087	0.000109508	7.73682e-05	5.43098e-05	3.79861e-05	2.65028e-05	1.8448e-05	1.28055e-05	8.8551e-06	6.08994e-06	4.15455e-06	2.79993e-06	1.8518e-06	1.18816e-06	7.23639e-07	3.9849e-07	1.7089e-07	7.71748e-08
3.18126	0.000397781	0.000397677	0.000398136	0.000395337	0.000376123	0.000331436	0.000269006	0.000204779	0.000149676	0.000106947	7.5516e-05	5.29954e-05	3.70622e-05	2.58567e-05	1.79979e-05	1.2493e-05	8.63895e-06	5.94128e-06	4.05314e-06	2.73159e-06	1.8066e-06	1.15916e-06	7.05978e-07	3.88764e-07	1.6672e-07	7.52914e-08
3.33959	0.000397774	0.000397687	0.000398152	0.000394734	0.000373898	0.000327562	0.0002645	0.000200641	0.000146351	0.000104459	7.37205e-05	5.17223e-05	3.61676e-05	2.52313e-05	1.75621e-05	1.21904e-05	8.42972e-06	5.79739e-06	3.95498e-06	2.66544e-06	1.76285e-06	1.13109e-06	6.88883e-07	3.79351e-07	1.62683e-07	7.34683e-08
3.50466	0.000397766	0.000397701	0.000398154	0.000394052	0.000371561	0.000323634	0.000260024	0.00019658	0.00014311	0.000102042	7.19787e-05	5.04882e-05	3.53008e-05	2.46254e-05	1.71401e-05	1.18974e-05	8.22705e-06	5.65802e-06	3.8599e-06	2.60136e-06	1.72048e-06	1.1039e-06	6.72325e-07	3.70233e-07	1.58772e-07	7.17024e-08
3.67676	0.000397755	0.000397721	0.000398141	0.000393289	0.000369116	0.000319657	0.00025558	0.000192595	0.00013995	9.96925e-05	7.02881e-05	4.92913e-05	3.44604e-05	2.40381e-05	1.6731e-05	1.16133e-05	8.03061e-06	5.52292e-06	3.76774e-06	2.53926e-06	1.6794e-06	1.07755e-06	6.56274e-07	3.61394e-07	1.54982e-07	6.99907e-08
3.85621	0.000397743	0.000397745	0.000398109	0.000392439	0.000366564	0.000315636	0.000251172	0.000188684	0.000136866	9.74075e-05	6.86463e-05	4.81299e-05	3.36452e-05	2.34684e-05	1.63342e-05	1.13378e-05	7.8401e-06	5.3919e-06	3.67836e-06	2.47902e-06	1.63957e-06	1.05199e-06	6.40708e-07	3.52822e-07	1.51306e-07	6.83307e-08
4.04333	0.000397729	0.000397775	0.000398055	0.000391501	0.000363907	0.000311576	0.000246801	0.000184847	0.000133858	9.51843e-05	6.70513e-05	4.70022e-05	3.28539e-05	2.29155e-05	1.59491e-05	1.10705e-05	7.65523e-06	5.26476e-06	3.59163e-06	2.42057e-06	1.60091e-06	1.02719e-06	6.25603e-07	3.44505e-07	1.47739e-07	6.67198e-08
4.23846	0.000397713	0.000397808	0.000397976	0.000390469	0.000361148	0.000307482	0.000242469	0.000181082	0.000130923	9.30206e-05	6.55009e-05	4.59068e-05	3.20854e-05	2.23787e-05	1.55753e-05	1.08109e-05	7.47574e-06	5.14132e-06	3.50743e-06	2.36383e-06	1.56338e-06	1.00311e-06	6.10938e-07	3.36429e-07	1.44276e-07	6.51558e-08
4.44195	0.000397697	0.000397846	0.000397868	0.000389342	0.00035829	0.000303359	0.000238179	0.000177389	0.000128057	9.09141e-05	6.39935e-05	4.48423e-05	3.13389e-05	2.18573e-05	1.52121e-05	1.05588e-05	7.30141e-06	5.02143e-06	3.42564e-06	2.30871e-06	1.52693e-06	9.79718e-07	5.96694e-07	3.28585e-07	1.40912e-07	6.36368e-08
4.65416	0.00039768	0.000397887	0.000397728	0.000388118	0.000355337	0.000299213	0.000233933	0.000173766	0.00012526	8.88627e-05	6.25272e-05	4.38075e-05	3.06134e-05	2.13505e-05	1.48593e-05	1.03139e-05	7.13201e-06	4.90494e-06	3.34617e-06	2.25515e-06	1.49151e-06	9.56992e-07	5.82853e-07	3.20964e-07	1.37644e-07	6.21607e-08
4.87547	0.000397664	0.00039793	0.000397551	0.000386793	0.00035229	0.000295047	0.000229732	0.000170213	0.000122529	8.68644e-05	6.11005e-05	4.28011e-05	2.9908e-05	2.08579e-05	1.45163e-05	1.00757e-05	6.96734e-06	4.79169e-06	3.26892e-06	2.20309e-06	1.45708e-06	9.349e-07	5.69398e-07	3.13554e-07	1.34466e-07	6.07258e-08
5.10627	0.000397648	0.000397975	0.000397335	0.000385367	0.000349155	0.000290866	0.000225577	0.000166728	0.000119862	8.49175e-05	5.97118e-05	4.18221e-05	2.92219e-05	2.03789e-05	1.41827e-05	9.84416e-06	6.80721e-06	4.68157e-06	3.19379e-06	2.15246e-06	1.42359e-06	9.13417e-07	5.56314e-07	3.0635e-07	1.31377e-07	5.93305e-08
5.34697	0.000397635	0.00039802	0.000397075	0.000383837	0.000345935	0.000286675	0.000221471	0.000163311	0.000117258	8.302e-05	5.83598e-05	4.08694e-05	2.85544e-05	1.99128e-05	1.38582e-05	9.6189e-06	6.65144e-06	4.57444e-06	3.12072e-06	2.10321e-06	1.39102e-06	8.92519e-07	5.43587e-07	2.99341e-07	1.28371e-07	5.79731e-08
5.59801	0.000397623	0.000398063	0.000396767	0.000382204	0.000342632	0.000282478	0.000217415	0.000159961	0.000114715	8.11704e-05	5.70432e-05	3.9942e-05	2.79048e-05	1.94593e-05	1.35424e-05	9.39971e-06	6.49987e-06	4.47021e-06	3.04961e-06	2.05529e-06	1.35933e-06	8.72185e-07	5.31202e-07	2.92521e-07	1.25446e-07	5.66524e-08
5.85981	0.000397615	0.000398103	0.000396407	0.000380466	0.000339253	0.000278279	0.000213409	0.000156676	0.00011223	7.93673e-05	5.57608e-05	3.90391e-05	2.72724e-05	1.90179e-05	1.32351e-05	9.18636e-06	6.35234e-06	4.36875e-06	2.98039e-06	2.00865e-06	1.32848e-06	8.52392e-07	5.19148e-07	2.85883e-07	1.226e-07	5.53668e-08
6.13286	0.000397612	0.000398138	0.000395991	0.000378623	0.0003358	0.000274081	0.000209455	0.000153456	0.000109803	7.76089e-05	5.45113e-05	3.81597e-05	2.66567e-05	1.8588e-05	1.29359e-05	8.97865e-06	6.20871e-06	4.26997e-06	2.91301e-06	1.96324e-06	1.29845e-06	8.33122e-07	5.07412e-07	2.7942e-07	1.19828e-07	5.41152e-08
6.41762	0.000397613	0.000398166	0.000395516	0.000376676	0.000332277	0.000269888	0.000205553	0.000150299	0.000107433	7.58941e-05	5.32936e-05	3.73031e-05	2.60569e-05	1.81695e-05	1.26445e-05	8.77637e-06	6.06884e-06	4.17378e-06	2.84739e-06	1.91901e-06	1.2692e-06	8.14356e-07	4.95983e-07	2.73127e-07	1.17129e-07	5.28963e-08
6.71461	0.00039762	0.000398185	0.000394976	0.000374625	0.00032869	0.000265703	0.000201705	0.000147205	0.000105117	7.42214e-05	5.21068e-05	3.64684e-05	2.54727e-05	1.77617e-05	1.23606e-05	8.57934e-06	5.93259e-06	4.08008e-06	2.78347e-06	1.87594e-06	1.24071e-06	7.96077e-07	4.8485e-07	2.66996e-07	1.145e-07	5.17091e-08
7.02434	0.000397634	0.000398192	0.000394369	0.000372471	0.000325042	0.000261529	0.00019791	0.000144173	0.000102854	7.25895e-05	5.09499e-05	3.5655e-05	2.49034e-05	1.73645e-05	1.20841e-05	8.38737e-06	5.79985e-06	3.98879e-06	2.7212e-06	1.83397e-06	1.21295e-06	7.78269e-07	4.74004e-07	2.61024e-07	1.11939e-07	5.05523e-08
7.34738	0.000397655	0.000398185	0.00039369	0.000370214	0.000321338	0.000257371	0.000194169	0.000141201	0.000100642	7.09972e-05	4.98218e-05	3.48622e-05	2.43486e-05	1.69773e-05	1.18146e-05	8.20031e-06	5.6705e-06	3.89983e-06	2.66051e-06	1.79307e-06	1.18591e-06	7.60914e-07	4.63434e-07	2.55203e-07	1.09443e-07	4.94251e-08
7.68427	0.000397683	0.00039816	0.000392936	0.000367858	0.000317583	0.000253229	0.000190482	0.000138289	9.84813e-05	6.94434e-05	4.87216e-05	3.40892e-05	2.38078e-05	1.65999e-05	1.15519e-05	8.01797e-06	5.54441e-06	3.81313e-06	2.60136e-06	1.75321e-06	1.15954e-06	7.43998e-07	4.53132e-07	2.4953e-07	1.0701e-07	4.83264e-08
8.03564	0.00039772	0.000398116	0.000392103	0.000365402	0.000313781	0.000249108	0.00018685	0.000135435	9.63693e-05	6.79267e-05	4.76484e-05	3.33355e-05	2.32805e-05	1.6232e-05	1.12958e-05	7.84021e-06	5.4215e-06	3.72859e-06	2.54369e-06	1.71434e-06	1.13384e-06	7.27507e-07	4.43088e-07	2.43999e-07	1.04638e-07	4.72552e-08
8.40208	0.000397764	0.00039805	0.000391187	0.000362849	0.000309936	0.00024501	0.000183272	0.000132638	9.43051e-05	6.64463e-05	4.66015e-05	3.26003e-05	2.27663e-05	1.58732e-05	1.10461e-05	7.66688e-06	5.30164e-06	3.64617e-06	2.48746e-06	1.67645e-06	1.10878e-06	7.11426e-07	4.33294e-07	2.38606e-07	1.02325e-07	4.62107e-08
8.78426	0.000397817	0.000397958	0.000390185	0.000360202	0.000306054	0.000240937	0.000179749	0.000129898	9.22873e-05	6.50008e-05	4.55799e-05	3.18832e-05	2.22647e-05	1.55233e-05	1.08025e-05	7.49782e-06	5.18474e-06	3.56577e-06	2.43262e-06	1.63949e-06	1.08433e-06	6.95742e-07	4.23742e-07	2.33346e-07	1.00069e-07	4.5192e-08
9.18285	0.000397877	0.000397837	0.000389094	0.000357462	0.000302139	0.000236892	0.000176281	0.000127212	9.03147e-05	6.35894e-05	4.45829e-05	3.11835e-05	2.17754e-05	1.5182e-05	1.05649e-05	7.3329e-06	5.0707e-06	3.48735e-06	2.37912e-06	1.60343e-06	1.06048e-06	6.80441e-07	4.14423e-07	2.28214e-07	9.78689e-08	4.41982e-08
9.59854	0.000397945	0.000397684	0.000387911	0.000354632	0.000298194	0.000232877	0.000172867	0.000124581	8.83862e-05	6.22109e-05	4.36097e-05	3.05006e-05	2.12979e-05	1.48489e-05	1.03331e-05	7.17199e-06	4.95943e-06	3.41083e-06	2.32692e-06	1.56825e-06	1.03722e-06	6.65513e-07	4.05331e-07	2.23208e-07	9.57218e-08	4.32286e-08
10.0321	0.000398018	0.000397497	0.000386633	0.000351715	0.000294226	0.000228894	0.000169508	0.000122002	8.65005e-05	6.08645e-05	4.26596e-05	2.98341e-05	2.08319e-05	1.45238e-05	1.01068e-05	7.01496e-06	4.85085e-06	3.33615e-06	2.27598e-06	1.53392e-06	1.01451e-06	6.50945e-07	3.96459e-07	2.18322e-07	9.36265e-08	4.22823e-08
10.4842	0.000398096	0.000397273	0.000385259	0.000348713	0.000290237	0.000224945	0.000166203	0.000119476	8.46566e-05	5.95492e-05	4.17319e-05	2.91835e-05	2.0377e-05	1.42065e-05	9.88603e-06	6.86169e-06	4.74487e-06	3.26327e-06	2.22626e-06	1.50041e-06	9.9235e-07	6.36725e-07	3.87798e-07	2.13552e-07	9.15813e-08	4.13587e-08
