Nondimentionalized time,Theory radial position 2.97133177mm,FEM radial position 2.97133177mm,Theory radial position 2.99800829mm,FEM radial position 2.99800829mm,Theory radial position 0.0mm,FEM radial position 0.0mm,Theory radial position 2.95887294mm,FEM radial position 2.95887294mm,Theory radial position 1.53020521mm,FEM radial position 1.53020521mm,Theory radial position 2.99922927mm,FEM radial position 2.99922927mm,Theory radial position 2.99043116mm,FEM radial position 2.99043116mm,Theory radial position 2.98005295mm,FEM radial position 2.98005295mm,Theory radial position 0.900120712mm,FEM radial position 0.900120712mm,Theory radial position 1.97126436mm,FEM radial position 1.97126436mm,Theory radial position 2.75330634mm,FEM radial position 2.75330634mm,Theory radial position 2.49612475mm,FEM radial position 2.49612475mm,Theory radial position 2.99342252mm,FEM radial position 2.99342252mm,Theory radial position 2.64740804mm,FEM radial position 2.64740804mm,Theory radial position 2.99872651mm,FEM radial position 2.99872651mm,Theory radial position 2.82743515mm,FEM radial position 2.82743515mm,Theory radial position 2.87932532mm,FEM radial position 2.87932532mm,Theory radial position 2.9995812mm,FEM radial position 2.9995812mm,Theory radial position 2.98615778mm,FEM radial position 2.98615778mm,Theory radial position 2.99982755mm,FEM radial position 2.99982755mm,Theory radial position 2.91564843mm,FEM radial position 2.91564843mm,Theory radial position 2.94107462mm,FEM radial position 2.94107462mm,Theory radial position 2.99698225mm,FEM radial position 2.99698225mm,Theory radial position 3.0mm,FEM radial position 3.0mm,Theory radial position 2.99551648mm,FEM radial position 2.99551648mm,Theory radial position 2.28000576mm,FEM radial position 2.28000576mm
0.010860357956341235,1.7253946284062636e-5,1.82326e-5,1.1980869844262213e-6,1.27279e-6,0.000350322465822742,0.000350225,2.4748489269659768e-5,2.61518e-5,0.0003499093800256226,0.00035038,4.6359870409630495e-7,4.97364e-7,5.75753348824058e-6,6.08734e-6,1.2004600502712764e-5,1.26862e-5,0.0003503212299323956,0.000350402,0.0003420636652513626,0.000341419,0.0001428579856064106,0.000149497,0.00025540700891029706,0.000260059,3.9572743992664336e-6,4.18615e-6,0.000195262762230721,0.000202117,7.660282683892711e-7,8.1664e-7,0.00010210378100601535,0.000107464,7.211697037013582e-5,7.60996e-5,2.5190686389410266e-7,2.73884e-7,8.32971100166528e-6,8.80411e-6,1.0372700546474194e-7,1.17454e-7,5.0633198034337106e-5,5.34836e-5,3.543549858024406e-5,3.74424e-5,1.8153627995085044e-6,1.9245e-6,-0.0,5.30435e-8,2.697264957872679e-6,2.85566e-6,0.0003102579056655452,0.000310958
0.011352759772331593,1.6885433175436864e-5,1.7848e-5,1.1724633424764294e-6,1.24592e-6,0.0003509678503505457,0.000350867,2.422066793479597e-5,2.5601e-5,0.00035043198398640587,0.000350922,4.5368360313478445e-7,4.86865e-7,5.634414203056627e-6,5.95882e-6,1.17480238161219e-5,1.24185e-5,0.0003509657903158136,0.000351127,0.0003415030063527025,0.000340878,0.00014010223953134343,0.000146724,0.00025193969460255794,0.000256886,3.872645155007741e-6,4.09777e-6,0.00019189381447470553,0.000198855,7.496450588274646e-7,7.994e-7,0.00010002652833215257,0.00010533,7.061161313814115e-5,7.45382e-5,2.465192653222504e-7,2.68102e-7,8.151617662228119e-6,8.61825e-6,1.0150856809325737e-7,1.14975e-7,4.956302866854453e-5,5.2369e-5,3.4681983528896044e-5,3.66564e-5,1.7765377293219308e-6,1.88387e-6,-0.0,5.19238e-8,2.6395797402180363e-6,2.79537e-6,0.00030781596316465574,0.00030882
0.011866287136065353,1.6525600219085065e-5,1.74725e-5,1.1474454789773602e-6,1.21968e-6,0.0003516265452760321,0.000351524,2.370523036315794e-5,2.50632e-5,0.0003509390100186931,0.000351443,4.4400291246366793e-7,4.76615e-7,5.514204484659212e-6,5.83335e-6,1.1497502230872445e-5,1.21571e-5,0.0003516231873728256,0.000351869,0.00034083869799100814,0.000340251,0.00013739351057268976,0.000143994,0.0002484552060387809,0.000253687,3.7900163108228017e-6,4.01149e-6,0.0001885586300893618,0.000195616,7.336491751463109e-7,7.8257e-7,9.799174515506367e-5,0.000103239,6.913950206401709e-5,7.3011e-5,2.4125903922208964e-7,2.62458e-7,7.977731150885555e-6,8.43679e-6,9.9342578585525e-8,1.12554e-7,4.851734833878558e-5,5.12799e-5,3.3946004527917554e-5,3.58888e-5,1.7386305165083599e-6,1.8442e-6,-0.0,5.08306e-8,2.5832581824549245e-6,2.73651e-6,0.00030527768895129744,0.000306598
0.012401853255658228,1.6174178651933577e-5,1.71059e-5,1.1230145034753736e-6,1.19407e-6,0.0003522988662999128,0.000352198,2.3201796042992744e-5,2.4538e-5,0.0003514259112066349,0.000351938,4.345493220746333e-7,4.66606e-7,5.396813670382773e-6,5.71085e-6,1.1252847568938756e-5,1.19018e-5,0.0003522935078494576,0.000352629,0.0003400668745285612,0.000339535,0.00013473130975603391,0.000141308,0.0002449574659450818,0.000250466,3.7093255078502878e-6,3.92724e-6,0.00018525833490769573,0.000192403,7.18028538821804e-7,7.66137e-7,9.599848559167051e-5,0.000101188,6.769973749085199e-5,7.1517e-5,2.3612221351036677e-7,2.56947e-7,7.807920495431073e-6,8.25962e-6,9.722740136409117e-8,1.10191e-7,4.749544145805301e-5,5.02156e-5,3.322703131688005e-5,3.5139e-5,1.7016125400867405e-6,1.80547e-6,-0.0,4.97633e-8,2.5282577664499963e-6,2.67904e-6,0.0003026469819383951,0.000304294
0.012960371339225927,1.583093469122594e-5,1.67478e-5,1.0991539737377564e-6,1.16906e-6,0.0003529850866509729,0.00035289,2.2710034216595524e-5,2.4025e-5,0.00035188769106937767,0.000352405,4.253164693270404e-7,4.56833e-7,5.282162852826753e-6,5.59121e-6,1.1013896090039515e-5,1.16526e-5,0.0003529767070317274,0.000353405,0.00033918421082571287,0.00033873,0.00013211530258845026,0.000138663,0.00024145046749837206,0.000247225,3.630518470630007e-6,3.84497e-6,0.0001819941551390594,0.000189217,7.027726366993878e-7,7.50089e-7,9.404595842041157e-5,9.91787e-5,6.629154743775177e-5,7.00555e-5,2.311053308796059e-7,2.51565e-7,7.642071714200329e-6,8.08659e-6,9.51616128196237e-8,1.07883e-7,4.649668897579203e-5,4.91754e-5,3.252460365173503e-5,3.44064e-5,1.6654588884806032e-6,1.76765e-6,-0.0,4.87209e-8,2.4745414849177216e-6,2.62292e-6,0.0002999281243626171,0.000301912
0.0135429372365073,1.5495560565734632e-5,1.6398e-5,1.0758423196564654e-6,1.14463e-6,0.00035368565728544153,0.000353604,2.2229507787007704e-5,2.35238e-5,0.0003523190727196333,0.000352837,4.1629600736904305e-7,4.47287e-7,5.17014847700044e-6,5.47436e-6,1.0780432626336641e-5,1.14091e-5,0.00035367280203480887,0.000354196,0.0003381876492900954,0.000337833,0.00012954448475170912,0.000136062,0.00023793715458633632,0.000243969,3.553523984803711e-6,3.76462e-6,0.000178766389680211,0.000186059,6.8786767700118e-7,7.34414e-7,9.21329100049599e-5,9.7209e-5,6.491384159701034e-5,6.86256e-5,2.2620385585725198e-7,2.46308e-7,7.480035158301579e-6,7.9176e-6,9.314334538983387e-8,1.05629e-7,4.552025166381045e-5,4.81587e-5,3.183810841497663e-5,3.36907e-5,1.630136880171846e-6,1.73071e-6,-0.0,4.77029e-8,2.422060785701327e-6,2.56811e-6,0.00029712487024954377,0.000299452
0.014150464155618051,1.5167891306172867e-5,1.60563e-5,1.0530679114665007e-6,1.12076e-6,0.0003544007609401581,0.000354341,2.175998395315863e-5,2.30342e-5,0.00035271424807672167,0.000353232,4.07483435794735e-7,4.37961e-7,5.060714744715495e-6,5.36021e-6,1.0552341492506038e-5,1.11712e-5,0.00035438139825399583,0.000355003,0.0003370750229441147,0.000336842,0.0001270188472370784,0.000133503,0.00023442167387765882,0.000240699,3.4783036650346753e-6,3.68612e-6,0.0001755764985787392,0.000182931,6.733062236125165e-7,7.19103e-7,9.025886260501377e-5,9.52783e-5,6.35661025663491e-5,6.72265e-5,2.2141534302696225e-7,2.41173e-7,7.3217302502288e-6,7.75252e-6,9.117159212958175e-8,1.03426e-7,4.456570152830752e-5,4.71647e-5,3.116722344553354e-5,3.29914e-5,1.5956288951952694e-6,1.69463e-6,-0.0,4.67084e-8,2.3707894943514653e-6,2.51456e-6,0.0002942421875365545,0.000296919
0.014784108826838087,1.4847657079990542e-5,1.57225e-5,1.0308118432782321e-6,1.09745e-6,0.00035513082339398526,0.000355105,2.130107938410804e-5,2.25558e-5,0.000353067240726068,0.000353584,3.9887143871687585e-7,4.28851e-7,4.953770888797609e-6,5.2487e-6,1.0329434071645112e-5,1.09389e-5,0.00035510216338917864,0.000355823,0.00033584434783194404,0.000335756,0.00012453748691795106,0.000130986,0.00023090679880559514,0.000237419,3.4047950921246786e-6,3.60944e-6,0.0001724247370624198,0.000179833,6.590761882480112e-7,7.04144e-7,8.842270531585521e-5,9.3386e-5,6.224736977839184e-5,6.58576e-5,2.1673581711738107e-7,2.36156e-7,7.167025816475801e-6,7.59123e-6,8.924471614956597e-8,1.01275e-7,4.363230117929412e-5,4.61929e-5,3.0511410712541498e-5,3.23079e-5,1.561906288619834e-6,1.65938e-6,-0.0,4.57367e-8,2.3206850553664143e-6,2.46225e-6,0.000291284181581968,0.000294314
0.015444967099906254,1.4534656334583628e-5,1.53963e-5,1.0090599669264864e-6,1.07467e-6,0.00035587614554443174,0.000355897,2.0852508326724944e-5,2.20883e-5,0.0003533717365493367,0.000353889,3.9045454127181336e-7,4.19949e-7,4.849248997335491e-6,5.13973e-6,1.0111569338796596e-5,1.07118e-5,0.00035583442462537877,0.000356655,0.000334494358012656,0.000334575,0.00012209994173849567,0.000128511,0.00022739575941069568,0.000234132,3.3329515589960687e-6,3.5345e-6,0.00016931183747992417,0.000176767,6.451685246281342e-7,6.89527e-7,8.662368493890349e-5,9.15312e-5,6.0956951931787e-5,6.4518e-5,2.1216230322082173e-7,2.31254e-7,7.015823735367252e-6,7.43364e-6,8.736149247777126e-8,9.91727e-8,4.271950832273545e-5,4.52427e-5,2.9870270847726673e-5,3.16398e-5,1.5289476243466347e-6,1.62493e-6,-0.0,4.47874e-8,2.2717156236240556e-6,2.41113e-6,0.00028825553371148105,0.000291641
0.016134195705102453,1.4228686754830524e-5,1.50775e-5,9.877980919887772e-7,1.0524e-6,0.0003566370448041641,0.00035672,2.0413983700358108e-5,2.16314e-5,0.0003536212293507763,0.000354141,3.822272522615457e-7,4.11249e-7,4.747080949836421e-6,5.03324e-6,9.898605793955761e-6,1.04899e-5,0.0003565772692917071,0.000357497,0.00033302429494590317,0.000333298,0.00011970566683163579,0.000126078,0.00022389152301344905,0.00023084,3.2627262172967777e-6,3.46128e-6,0.0001662383542186094,0.000173733,6.31574159474659e-7,6.75243e-7,8.486101439736271e-5,8.97133e-5,5.9694144190968764e-5,6.32071e-5,2.0769181755510971e-7,2.26463e-7,6.8680255743605065e-6,7.27963e-6,8.552069248812374e-8,9.71183e-8,4.1826775020546616e-5,4.43135e-5,2.9243401901719354e-5,3.09868e-5,1.4967314021458133e-6,1.59127e-6,-0.0,4.38596e-8,2.223849258392568e-6,2.36118e-6,0.0002851608957603187,0.000288903
0.016852951372706575,1.3929572399165645e-5,1.47659e-5,9.670138706426764e-7,1.03065e-6,0.0003574137821606311,0.000357576,1.998525600720808e-5,2.11847e-5,0.00035380906344343227,0.000354336,3.7418479349852336e-7,4.02746e-7,4.647207474815406e-6,4.92916e-6,9.6904203452325e-6,1.0273e-5,0.00035732943317329284,0.000358347,0.00033143403182105775,0.000331925,0.00011735425208196029,0.000123685,0.0002203971111894799,0.000227547,3.194078302983379e-6,3.3897e-6,0.00016320494588090658,0.000170732,6.182851976445894e-7,6.61282e-7,8.313403121770796e-5,8.79315e-5,5.845834096608037e-5,6.19242e-5,2.0332176376967437e-7,2.21781e-7,6.723545693628523e-6,7.1291e-6,8.372124708638289e-8,9.51104e-8,4.095362712770186e-5,4.34048e-5,2.8630455018840913e-5,3.03483e-5,1.4652389136207134e-6,1.55836e-6,-0.0,4.29528e-8,2.177058166703111e-6,2.31236e-6,0.0002820051417203837,0.000286103
0.017602634355162714,1.3637065995145828e-5,1.44612e-5,9.466900080181261e-7,1.00937e-6,0.0003582068141477269,0.000358467,1.9565973302647117e-5,2.07481e-5,0.00035392855092259557,0.00035447,3.6632047254915696e-7,3.94435e-7,4.549545524103714e-6,4.82742e-6,9.486840303004093e-6,1.0061e-5,0.000358089503251639,0.000359204,0.00032972351515339295,0.000330455,0.00011504465726138147,0.000121333,0.00021691445413863028,0.000224254,3.1269507109793374e-6,3.31974e-6,0.00016021138912502027,0.000167765,6.052905809816867e-7,6.47634e-7,8.144163482888265e-5,8.6185e-5,5.724863276871787e-5,6.06684e-5,1.9904850536562379e-7,2.17204e-7,6.582264049269338e-6,6.98196e-6,8.196165887935128e-8,9.31475e-8,4.009937925966887e-5,4.25159e-5,2.8030934274135145e-5,2.9724e-5,1.4344439544619448e-6,1.5262e-6,-0.0,4.20663e-8,2.1313034179804904e-6,2.26463e-6,0.00027879229452609485,0.000283245
0.01838446226329182,1.3351023821067927e-5,1.41634e-5,9.268164130762931e-7,9.88578e-7,0.00035901632308089134,0.000359394,1.91559318773418e-5,2.03211e-5,0.0003539729384188211,0.000354537,3.5863038451743744e-7,3.86308e-7,4.45404666139058e-6,4.72795e-6,9.28776509382011e-6,9.85374e-6,0.00035885542648718795,0.000360064,0.00032789370124868775,0.000328888,0.00011277659319621911,0.000119021,0.00021344645225697,0.000220963,3.0613101282895825e-6,3.25134e-6,0.00015725836577565417,0.000164832,5.925838573123525e-7,6.34291e-7,7.978329876101184e-5,8.4473e-5,5.606452962828072e-5,5.94392e-5,1.9486992051723746e-7,2.12729e-7,6.444110660657986e-6,6.8381e-6,8.024105416689853e-8,9.12285e-8,3.926364558400804e-5,4.16464e-5,2.7444555129229206e-5,2.91135e-5,1.4043312356059885e-6,1.49476e-6,-0.0,4.11997e-8,2.086562299108784e-6,2.21797e-6,0.00027552737328392565,0.000280331
0.019199835349537966,1.307125660864522e-5,1.38721e-5,9.073798379406075e-7,9.68243e-7,0.0003598425936930976,0.000360359,1.8754862563672073e-5,1.99035e-5,0.0003539355612347463,0.000354533,3.511094029811127e-7,3.78362e-7,4.360647276835078e-6,4.63069e-6,9.093062485086491e-6,9.65104e-6,0.0003596248419010968,0.000360925,0.00032594572298410836,0.000327225,0.00011054935276803607,0.000116749,0.00020999523409443024,0.000217678,2.9971128139731382e-6,3.18445e-6,0.00015434595598344466,0.000161934,5.801565560668988e-7,6.21244e-7,7.815821111325662e-5,8.27949e-5,5.490534556850871e-5,5.82358e-5,1.9078322365545427e-7,2.08353e-7,6.308993589888494e-6,6.69742e-6,7.855828594119065e-8,8.9352e-8,3.844590474912527e-5,4.07958e-5,2.6870938949419808e-5,2.85164e-5,1.3748806846366543e-6,1.46401e-6,-0.0,4.03522e-8,2.0428049896923664e-6,2.17234e-6,0.0002722147880894318,0.000277366
0.020050275627427346,1.2797563475280229e-5,1.35873e-5,8.883662354939612e-7,9.48356e-7,0.0003606859179025286,0.000361361,1.8362479376330594e-5,1.94952e-5,0.0003538098583628871,0.000354453,3.437520922640653e-7,3.70591e-7,4.269279916032888e-6,4.53557e-6,8.902592201018935e-6,9.45282e-6,0.00036039495980728367,0.000361783,0.0003238809857935359,0.000325466,0.00010836207838734747,0.000114516,0.00020656253871045667,0.000214401,2.9343123860525176e-6,3.11904e-6,0.00015147398145732086,0.000159071,5.679996956735584e-7,6.08484e-7,7.656547091610725e-5,8.11499e-5,5.3770338985171756e-5,5.70577e-5,1.8678546117189453e-7,2.04074e-7,6.1768153307723155e-6,6.55985e-6,7.691213800141161e-8,8.75168e-8,3.764559900141342e-5,3.99634e-5,2.6309682557869506e-5,2.79323e-5,1.3460710180452377e-6,1.43394e-6,-0.0,3.95235e-8,1.9999998696758414e-6,2.12772e-6,0.00026885863879449546,0.000274353
